Name,Version,License
"build-essential","12.9ubuntu3","Unknown"
"net-tools","1.60+git20181103.0eebece-1ubuntu5","Unknown"
"python3-venv","3.10.6-1~22.04.1","Unknown"
"qtbase5-dev","5.15.3+dfsg-2ubuntu0.2","Unknown"
"qt5-qmake","5.15.3+dfsg-2ubuntu0.2","Unknown"
"pkg-config","0.29.2-1ubuntu3","Unknown"
"qtwayland5","5.15.3-1","Unknown"
"libx11-dev","2:1.7.5-1ubuntu0.3","Unknown"
"libxext-dev","2:1.3.4-1build1","Unknown"
"python3-pyelftools","0.27-1","Unknown"
"python3-ftdi1","1.5-5build3","Unknown"
"python3-serial","3.5-1","Unknown"
"libncurses-dev","6.3-2ubuntu0.1","Unknown"
"ubuntu","Ubuntu 22.04.5 LTS","Unknown"
"code","1.95.2-1730981514","Unknown"
